id,fen,solution,difficulty,source
1,3n2k1/6p1/2b1p1BP/pp2P1b1/2pp3P/2P4K/2P5/5R2 w KQkq - 0 1,1. h7+ Kh8 2. Rf8,mate_in_2,Ramakrishnan - Mate in Two - All 4 Volumes
2,2b5/5p2/3B1p2/k3pP2/p3B3/1P2b3/P1P3PP/1KN3b1 w KQkq - 0 1,1. b4+ Kb5 2. Bd3,mate_in_2,Ramakrishnan - Mate in Two - All 4 Volumes
